word,part_of_speech,meaning,example,phonetic_symbol,audio_link
attribute,noun;;,特性；特质；属性;;,Organizational ability is an essential attribute for a good manager.;;组织能力是一个优秀经理必备的素质。;;,/ˈæt.rɪ.bjuːt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukatt/ukatten017.mp3
auditorium,noun;;,（剧院等的）听众席，观众席;;剧院;礼堂;音乐厅;;,No smoking in the auditorium.;;观众席中禁止吸烟。;;,/ˌɔː.dɪˈtɔː.ri.əm/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukaud/ukaudac011.mp3
authority,noun;;,权威人士;专家;泰斗;;威信；权力；管辖权;;当局；官方；当权者;;官方;当局;;,The United Nations has used/exerted/exercised its authority to restore peace in the area.;;联合国行使其权力以恢复该地区的和平。;;We need to get the support of someone in authority (= an important or high-ranking person).;;我们需要得到一个有实权的人的支持。;;They've been acting illegally and without authority (= permission) from the council.;;他们的行动都是非法的，且没有得到市政委员会的授权。;;I'll give my lawyers authority (= permission) to act on my behalf.;;我将授权我的律师代表我行事。;;He has no authority over (= ability to control) his students.;;他在学生面前没有威信。;;She spoke with authority (= as if she was in control or had special knowledge).;;她说话时一副权威的口吻。;;the health authority;;卫生当局;;the local housing authority;;当地住房管理机构;;I'm going to report these potholes to the authorities.;;这条路路面坑坑洼洼，我要把这一情况报告给有关部门。;;She's a world authority on 19th-century Irish history.;;她是19世纪爱尔兰历史方面的国际权威。;;,/ɔːˈθɒr.ə.ti/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukaur/ukauror027.mp3
available,adjective;;,可获得的；可用的;;可取得联系的；有空的;;,Is this dress available in a larger size?;;这件衣服有大一号的吗？;;Our autumn catalogue is now available from our usual stockists.;;秋季商品目录现已推出，请到我们公司零售处索取。;;There's no money available for an office party this year.;;今年没有钱举办办公室聚会了。;;It is vital that food is made available to the famine areas.;;一定要把食品送到遭受饥荒的地区，这是至关重要的。;;Do you have any double rooms available this weekend?;;你们旅馆本周末有没有双人间？;;I'm afraid I'm not available to help with the show on the 19th.;;19号的演出恐怕我没有时间来帮忙了。;;Every available officer will be assigned to the investigation.;;每一名可以调用的警官都将会被派去进行调查。;;,/əˈveɪ.lə.bəl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukaut/ukauton014.mp3
award,verb;;noun;;,奖；奖项；奖金；奖品;;给予，授予;判给，裁定;;,"Carlos was awarded first prize in the essay competition.;;卡洛斯被授予短文写作竞赛一等奖。;;The jury awarded libel damages of £100,000.;;陪审团作出裁定，判给受害人名誉损害赔偿金10万英镑。;;The university has awarded her a $500 travel grant.;;该大学发给她500美元的旅行补助。;;They have authorized awards of £900 to each of the victims.;;他们判给每一个受害者900英镑赔偿金。;;the Academy Award for Best Director;;奥斯卡最佳导演奖;;",/əˈwɔːd/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukavi/ukaviat024.mp3
back,adverb;;noun;;verb;;adjective;;,支持;资助;;后面；后部；背面;;在原处；回到原处；恢复原状；返回；回到以前;;作为回报;;作为回答;;向后；远离;;背靠背;;后面的，后部的，背部的;;一个接一个;;前后倒置;;手背;;背部，后背;;（足球等运动的）后卫球员;;下赌注于;;（使）后退；使倒退;;给某物加背衬使其更加坚固或厚实;;延迟的，拖欠的;;,"When you take the scissors, remember to put them back.;;剪刀用完后记着要放回去。;;He left a note saying ""Gone out. Back soon."";;他留了张便条，上面写着“出去一下，马上回来”。;;She went to Brazil for two years, but now she's back (= has returned).;;她去巴西呆了两年，现在回来了。;;He looked back (= looked behind him) and saw they were following him.;;他向后看了看，发现他们正跟着他。;;Looking at her old photographs brought back (= made her remember) a lot of memories.;;看着以前的照片，她想起了许多往事。;;I was woken by a thunderstorm, and I couldn't get back to sleep (= could not sleep again).;;我被雷雨惊醒后，再也无法入睡。;;The last time we saw Lowell was back (= at an earlier time) in January.;;我们最后一次见到洛厄尔是早在1月的时候。;;This tradition dates back to (= to the earlier time of) the 16th century.;;这个传统可追溯到16世纪。;;If he hits me, I'll hit him back.;;如果他打我，我就要还手。;;You're not just going to let her say those things about you without fighting back, are you?;;她那样说你，你不会就此算了吧？;;I'm busy at the moment - can I call you back?;;我现在很忙——我回头给你打过去好吗？;;I wrote to Donna several months ago, but she hasn't written back yet.;;我几个月前给唐娜写过信，但她还没有回信。;;If we push the table back against the wall, we'll have more room.;;如果把桌子往后推，靠着墙，就会腾出更多的空间。;;""Keep back!"" he shouted, ""Don't come any closer!"";;“退后！”他大叫着，“不要再靠近了！”;;He sat back on the sofa.;;他向后靠坐在沙发上。;;She threw back her head and laughed uproariously.;;她仰起头，大笑不止。;;The house is set back from the street.;;那座房子远离公路。;;He jotted her name down on the back of an envelope.;;他在信封背面匆匆记下了她的名字。;;I found my tennis racket at the back of the cupboard.;;我在衣柜的最里边找到了我的网球拍。;;We sat at the back of the bus.;;我们坐在公共汽车的后部。;;Our seats were right at the back of the auditorium.;;我们的座位正好就在剧院的后排。;;Ted was out/round the back (= in the area behind the house)."";;特德在屋后。;;There is a beautiful garden at the back of (= behind) the house.;;房后有个漂亮的花园。;;If there's no reply at the front door, come round the back.;;如果前门没人应答，就去后门。;;He put his jacket on the back of his chair (= the part of the chair that you put your back against when you sit on it).;;他把夹克搭在椅背上。;;The office was full of computers, and we had to sit back to back in long rows.;;办公室里摆满了电脑，我们只好背靠背坐着，排成长排。;;Coming up after the break, three Rolling Stones classics back to back.;;短暂休息过后，接下来是3首滚石乐队经典歌曲连放。;;You've put your jumper on back to front.;;你的套头衫前后穿反了。;;I have a bad back.;;我背疼。;;Sleeping on a bed that is too soft can be bad for your back.;;睡太软的床会对背部有害。;;He lay on his back, staring at the ceiling.;;他仰面躺着，眼睛盯着天花板。;;I turned my back (= turned around so that I could not see) while she dressed.;;她穿衣服时我转过身去。;;She put her back out (= caused a serious injury to her back) lifting a box.;;她搬箱子时背部严重扭伤。;;The management has refused to back our proposals.;;管理层拒不支持我们的提议。;;The horse I backed came in last.;;我投注的那匹马得了最后一名。;;Ann gave up driving when she backed the car into the garage door.;;安倒车时撞上了车库大门，于是她从此再也不开车了。;;Please could you back your car up a few feet so that I can get mine out of the driveway?;;请你把车往后倒几英尺让我把车开出车道，好吗？;;The material is backed with a heavy lining.;;这种料子的里衬很厚实。;;She left the house by the back door.;;她从后门离开了那座房子。;;The back seat of the car folds down.;;小汽车的后座可以折起来。;;They owe the staff several thousand in back pay.;;他们拖欠了员工几千镑工资。;;back rent/taxes;;预期未交的房租/税款;;",/bæk/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukazt/ukazt__024.mp3
batch,noun;;,一批，一组;;一届学生;;,The cook brought in a fresh batch of homemade cupcakes.;;那位厨师带来了一炉刚刚烤好的自制蛋糕。;;We looked at the job applications in two batches.;;我们把那些求职申请分两批浏览了一遍。;;,/bætʃ/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbat/ukbatch001.mp3
battery,noun;;adjective;;,电池;;一组，一套，一连串（同类事物）;;炮组，排炮;;暴力行为，殴打;;层架式养鸡的;;,a rechargeable battery;;充电电池;;a battery-operated hairdryer;;电池式吹风机;;This alarm clock takes two medium-sized batteries.;;这个闹钟需要装两节中号电池。;;I think the battery isdead/flat (= has lost its power).;;我认为电池用完了。;;In the kitchen an impressive battery of stainless steel utensils hangs on the wall.;;厨房的墙面上挂着一套不锈钢炊具，非常显眼。;;The shore battery opened fire.;;岸边的炮阵开火了。;;battery farming;;层架式家禽饲养法;;battery hens/eggs;;在层架式鸡笼里饲养的母鸡/产出的鸡蛋;;,/ˈbæt.ər.i/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbat/ukbatch024.mp3
beam,noun;;verb;;,辐射;发光;闪光;发射电波;播送;;（定向发出的）射束，粒子流;;高兴的微笑，眉开眼笑;;光线;光束;光柱;;（尤指支撑建筑物或其他结构的）梁，桁架，栋梁;;（女子体操运动中的）平衡木;;,"We could just pick out the trail in the weak beam of the flashlight.;;我们借着手电筒微弱的光仅能勉强认清路。;;The rabbit stopped, mesmerized by the beam of the car's headlights.;;兔子被汽车前灯射出的光束迷住了眼，停了下来。;;a laser beam;;激光束;;an electron beam;;电子波;;The sitting room had exposed wooden beams.;;客厅顶上有裸露的木梁。;;She beamed with delight/pleasure at his remarks.;;听完他的话她高兴得眉开眼笑。;;The child beamed at his teacher as he received the award.;;那个孩子在领奖时对他的老师报以微笑。;;""I'm so pleased to see you,"" he beamed (= said as he smiled).;;“见到你很高兴，”他微笑着说。;;The sun beamed (= shone brightly) down on the boat as it drifted along.;;阳光照在缓缓漂动的船上。;;The concert was beamed (= broadcast) by satellite all over the world.;;音乐会经卫星播送到世界各地。;;",/biːm/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbat/ukbattl030.mp3
bear,verb;;noun;;,具有，带有;;忍受;容忍;经受;承担;;负载，负担，负荷;;生（孩子）;结（果实）;开（花）;;熊;;（糟糕或可怕得）不敢想象;;携带;运送;;转向;;见证，作证;;证明;;撒谎;;（年龄较大、身材魁梧且多毛的）同性恋男人;;（股市中）做空头者;（对行情）看跌的人;;,"The strain must have been enormous but she bore it well.;;当时压力一定很大，但她挺过来了。;;Tell me now! I can't bear the suspense!;;现在告诉我吧！我等不及了！;;It's your decision - you have to bear the responsibility if things go wrong.;;是你作出的决定——如果出了差错你必须承担责任。;;He couldn't bear to see the dog in pain.;;他不忍看见狗那么痛苦。;;I can't bear being bored.;;我受不了闲极无聊的日子。;;""What if she'd been driving faster?"" ""It doesn't bear thinking about."";;“假如她车开得再快一点儿会怎么样？”“简直不敢想象。”;;Their baby bears a strong resemblance to its grandfather.;;他们的宝宝长得非常像他爷爷。;;The stone plaque bearing his name was smashed to pieces.;;上面刻有他名字的石匾被砸得粉碎。;;On display were boxing gloves that bore Rocky Marciano's signature.;;展品中有洛基·马西亚诺签过名的拳击手套。;;I don't bear them any ill feeling (= I do not continue to be angry with or dislike them).;;我并不怨恨他们。;;Thank you for your advice - I'll bear it in mind (= I will remember and consider it).;;谢谢你的忠告，我会谨记在心的。;;The chair, too fragile to bear her weight, collapsed.;;椅子太不结实了，她一坐上去就散架了。;;She had borne six children by the time she was 30.;;她到30岁时已经生了6个孩子。;;When his wife bore him a child he could not hide his delight.;;当妻子生了个小孩时，他掩饰不住内心的喜悦。;;Most animals bear their young in the spring.;;大多数动物都在春天产崽儿。;;The pear tree they planted has never borne fruit.;;他们种的梨树从来没有结过梨。;;At Christmas the family all arrive at the house bearing gifts.;;圣诞节时，全家人带着礼物来到那幢房子。;;Countless waiters bore trays of drinks into the room.;;许多服务员端着一盘盘饮料进入房间。;;The sound of the ice cream van was borne into the office on the wind.;;冰激凌车的叮当声随风飘进了办公室。;;The path followed the coastline for several miles, then bore inland.;;这条小路沿着海岸线延伸了几英里，然后转向内陆。;;After you go past the church keep bearing left/right.;;经过教堂后，继续向左／右。;;She bore witness to his patience and diligence.;;她亲眼见证了他的耐心和勤奋。;;The iron bridge bears testimony to the skills developed in that era.;;这座铁桥证明了那个时代的技术发展水平。;;a brown/black bear;;棕熊／黑熊;;a bear cub (= young bear);;幼熊;;",/beər/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukban/ukbanqu030.mp3
